Ci_multi,Ci_multi_err,Ci_single,Ci_single_err,Ci_tot,Ci_tot_err,Ci1_thr,Ci1_thr_err,Ci1_pnr,Ci1_pnr_err,Ci12_thr,Ci12_thr_err,Ci12_pnr,Ci12_pnr_err,Ci2_thr,Ci2_thr_err,Ci2_pnr,Ci2_pnr_err,C1_tot,C1_tot_err,C12,C12_err,C2_tot,C2_tot_err,shg_current,g2_pnr,g2_pnr_err,g2_thr,g2_thr_err,eta0_i_thr_r1,eta0_i_thr_r1_err,eta0_i_thr_r2,eta0_i_thr_r2_err,eta0_i_pnr_r1,eta0_i_pnr_r1_err,eta0_i_pnr_r2,eta0_i_pnr_r2_err,eta0_1_rPnr,eta0_2_rPnr,mu0,mu0_err
1.145449489,0.008317331902,385.789717,0.152641064,387.06292149999996,0.1528927338,64.69477499,0.06251295244,64.57390516,0.06245452839,0.03463022843000001,0.00144631565,0.02847606133,0.0013115213579999998,92.48648206,0.08704672726,92.0693921,0.08685022643,202.4614084,0.1105776071,0.9351900143,0.007515975191,245.1676285,0.12168235990000001,0.68,0.0018478139438396011,8.51444741618067e-05,0.0022402137550344174,9.361447102099309e-05,0.31954126715439757,0.0003546742981421748,0.3772377398511239,0.00040139274893810764,0.31894426533091325,0.0003542626667260589,0.3755364958388052,0.00040029010443479136,0.33476218942351954,0.47730350521499254,0.002337755785910504,0.0017264241121803345
2.74860543,0.03197133705,1048.109334,0.6243209279999999,1051.077352,0.6252042737,186.35942790000001,0.2648377607,185.9435454,0.26454208760000003,0.22730654760000002,0.009195838612,0.1863839286,0.008327019824,227.6741071,0.2910329684,227.10193450000003,0.2906670377,596.6128672,0.47103253619999996,2.822172619,0.0324023982,728.9033097999999,0.5206424321,0.6825,0.004626079683106501,0.0002068858665333508,0.005630949254185147,0.0002280825435101012,0.3123624013920698,0.0005078064901416897,0.31235158907766564,0.0004573810280759409,0.31166532876279207,0.0005071060543642493,0.3115666117119339,0.0004566693395102884,0.35481707750920577,0.4333554279748453,0.004973134931321869,0.002356498281381058
1.7624737609999999,0.02595628058,1359.805264,0.7209738105,1361.63265,0.7214580912999999,248.8767123,0.2637744101,248.5412357,0.2635965711,0.3909883721,0.01222773658,0.3260658915,0.01116649405,297.524283,0.3373070062,297.1154876,0.3370751983,776.4743884,0.5448095325,3.788921189,0.03806465863,838.3390925,0.5660971771,0.69,0.006004244175754092,0.00020585805282157232,0.007189805138569116,0.0002251622700733539,0.3205214698875444,0.00040740393118713784,0.3548973030862211,0.00046831394420276566,0.3200894188050981,0.00040704563327200306,0.35440967772834714,0.00046790790563789756,0.3655541602609945,0.4369971134337365,0.005908331768348239,0.0026322784796899094
2.028990509,0.01956600107,1712.887144,0.5684947261,1715.028473,0.5688499607999999,315.0958852,0.24387393670000002,314.5432239,0.24365997190000002,0.6001381215,0.010643136459999999,0.492058011,0.009637228946999999,368.83603239999997,0.8640784944,368.2044534,0.8633383720000001,962.4305436000001,0.4261345663,4.947859116,0.03055995325,1135.07541,0.4627798307,0.6925,0.007277390606551581,0.00014368044594120826,0.00885618083251135,0.00015859960659361477,0.32739597396958586,0.00029192818557172975,0.32494407785646595,0.0007726941810381006,0.32682173897291505,0.00029160898205587895,0.3243876575566023,0.0007720129019278385,0.3672667227397907,0.429922607207098,0.007161535152721912,0.0027146847997088957
3.651366576,0.04357506823,1994.838932,1.018507604,1998.674525,1.019486306,356.4669787,0.4305464478,355.7628705,0.4301210211,0.8645659431999999,0.02120359107,0.7249582638,0.01941631728,444.22586270000005,0.39349266899999996,443.2063437,0.39304086759999995,1147.3167119999998,0.7724173453000001,6.16360601,0.05661451522000001,1356.472356,0.8398772770999999,0.705,0.009171793152726414,0.00024607430280501174,0.010912319075832495,0.0002681824406763417,0.3106962314517389,0.0004296231907163423,0.32748611553717505,0.00035392657875821465,0.310082531509399,0.0004290981838891201,0.3267345196823163,0.00035338703022754815,0.356683303892928,0.4443530117548357,0.008264892965351376,0.002838600515488269
13.92144767,0.06343137857,4610.649805,1.1543646509999999,4625.1902119999995,1.156183453,871.2312807,0.5018702462,867.3073142999999,0.5007387761,4.453311394,0.0358811415,3.7023858489999997,0.032716403639999996,997.5067712000001,0.5370103365,993.1275837000002,0.8413441642,2646.592021,0.8745918985,18.73467709,0.07359491787,3083.9426280000002,0.9440936915000001,0.72,0.019818270931478983,0.00017637006653134274,0.023700818768644532,0.00019196540622610966,0.32918986900399183,0.00021861623854950175,0.32345179256687523,0.00020031574171136462,0.3277072202357403,0.00021800170599890927,0.3220317961440365,0.0002900803143377004,0.3762191235428256,0.4307972306302713,0.01670476748052515,0.0033423774526173972
19.55893406,0.1387476823,6049.7830539999995,2.440186649,6069.803553,2.444220959,1115.2114060000001,1.04717225,1109.39823,1.044439427,7.74965847,0.08729327861,6.453210382999999,0.07965763999,1337.019885,0.8364473116,1329.99686,0.8342475968999999,3473.0963439999996,1.848892077,27.96687158,0.1658293764,4033.9832590000005,1.9926003019999998,0.735,0.02645925066707347,0.0003281520825580568,0.03154729522035054,0.0003573574896668799,0.3211000489308627,0.0003465940394962318,0.3314391258359954,0.00026419100592859273,0.31942627561039527,0.00034547030820689274,0.3296981605049343,0.00026323034346831226,0.3667563679879355,0.4396841500359692,0.021265503122896896,0.0034897681646609796
28.8,1.697056275,3877.2,19.6906069,3906.0,19.76360291,714.3,8.451627062,710.8,8.430895563,3.066666667,0.3197221016,2.433333333,0.2848001248,838.2,9.155326319,834.8,9.136739024,2315.4,15.21643848,14.7,1.212435565,2650.1,16.27912774,0.7,0.01589973733798734,0.0018802673131858886,0.020006471741029028,0.0021129777448868066,0.30849961129826375,0.004175428921607978,0.31628995132259163,0.00396357745164501,0.3069879934352595,0.004162780194160166,0.3150069808686465,0.0039536023595213195,0.366656349943258,0.4306200350768596,0.014615550512700706,0.0030890909353624395
224.7,4.740253158,16578.9,40.71719538,16803.6,40.99219438,3230.0,17.97220076,3179.0,17.82975042,60.9,1.424780685,49.75,1.2877629179999999,3708.3,19.256946799999998,3652.5,19.11151485,9907.8,31.47665802,156.36363640000002,3.7702620639999997,11517.3,33.93714779,0.72,0.07103429009548674,0.0019256496687373391,0.08543626300937007,0.0021122338856083005,0.326005773229173,0.002088799416185526,0.321976504910005,0.0019224215205473686,0.3208583136518703,0.0020682172198744275,0.3171316193899612,0.0019044037180182027,0.3834995084112938,0.4406203065342091,0.056623687913496305,0.003945909273848767
1038.0,32.21800739,40823.0,202.04702419999998,41861.0,204.59960900000002,8700.0,93.27379053,8400.0,91.65151390000001,410.0,9.055385138,344.0,8.294576541,10000.0,100.0,9700.0,98.48857802,24766.0,157.37217030000002,860.0,29.3257566,28844.0,169.83521430000002,0.74,0.1723504172803142,0.00495947645810371,0.19727597701149424,0.005317808027531161,0.351288056206089,0.004378019854193449,0.3466925530439606,0.004023265956759215,0.3391746749576032,0.004282549468883453,0.3362917764526418,0.003947126345516751,0.41153271440119543,0.47522230115376135,0.13961748392511106,0.005376867845923442
